,YEAR_op,RESOURCES,AREA,importCosts_Pvar
0,2040,natural gas,Marseille,0.0
1,2040,natural gas,Nice,5.819327891008163e-10
2,2040,natural gas,Alpin,0.0
3,2040,gas,Marseille,0.0
4,2040,gas,Nice,0.0
5,2040,gas,Alpin,0.0
6,2040,biogas,Marseille,0.0
7,2040,biogas,Nice,0.0
8,2040,biogas,Alpin,0.0
9,2040,hydrogen,Marseille,0.0
10,2040,hydrogen,Nice,0.0
11,2040,hydrogen,Alpin,0.0
12,2040,electricity,Marseille,58250585.42290313
13,2040,electricity,Nice,21392193.9695
14,2040,electricity,Alpin,8345679.78425768
15,2050,natural gas,Marseille,0.0
16,2050,natural gas,Nice,1.9656647049068586e-10
17,2050,natural gas,Alpin,0.0
18,2050,gas,Marseille,0.0
19,2050,gas,Nice,0.0
20,2050,gas,Alpin,0.0
21,2050,biogas,Marseille,0.0
22,2050,biogas,Nice,0.0
23,2050,biogas,Alpin,0.0
24,2050,hydrogen,Marseille,0.0
25,2050,hydrogen,Nice,0.0
26,2050,hydrogen,Alpin,0.0
27,2050,electricity,Marseille,34132154.38364193
28,2050,electricity,Nice,14139545.430105362
29,2050,electricity,Alpin,4897774.3787103975
30,2030,natural gas,Marseille,30133836.85596911
31,2030,natural gas,Nice,-2.3540779335943167e-11
32,2030,natural gas,Alpin,0.0
33,2030,gas,Marseille,0.0
34,2030,gas,Nice,0.0
35,2030,gas,Alpin,0.0
36,2030,biogas,Marseille,0.0
37,2030,biogas,Nice,0.0
38,2030,biogas,Alpin,0.0
39,2030,hydrogen,Marseille,0.0
40,2030,hydrogen,Nice,0.0
41,2030,hydrogen,Alpin,0.0
42,2030,electricity,Marseille,101202718.87935351
43,2030,electricity,Nice,66940288.19750249
44,2030,electricity,Alpin,16806410.85057632
