,YEAR_op,TIMESTAMP,TECHNOLOGIES,AREA,power_Dvar
0,2040,1,Existing SMR,Marseille,0.0
1,2040,1,Existing SMR,Nice,0.0
2,2040,1,Existing SMR,Alpin,0.0
3,2040,1,ElectrolysisS,Marseille,0.0
4,2040,1,ElectrolysisS,Nice,0.0
5,2040,1,ElectrolysisS,Alpin,0.0
6,2040,1,CCS2,Marseille,0.0
7,2040,1,CCS2,Nice,0.0
8,2040,1,CCS2,Alpin,0.0
9,2040,1,SMR + CCS1,Marseille,0.0
10,2040,1,SMR + CCS1,Nice,0.0
11,2040,1,SMR + CCS1,Alpin,0.0
12,2040,1,ElectrolysisL,Marseille,900.0
13,2040,1,ElectrolysisL,Nice,260.96883065316655
14,2040,1,ElectrolysisL,Alpin,100.0
15,2040,1,SMR + CCS2,Marseille,0.0
16,2040,1,SMR + CCS2,Nice,0.0
17,2040,1,SMR + CCS2,Alpin,0.0
18,2040,1,Ground PV,Marseille,0.0
19,2040,1,Ground PV,Nice,0.0
20,2040,1,Ground PV,Alpin,0.0
21,2040,1,ElectrolysisM,Marseille,14.214963119072763
22,2040,1,ElectrolysisM,Nice,0.0
23,2040,1,ElectrolysisM,Alpin,32.360379346680716
24,2040,1,Offshore wind - floating,Marseille,0.0
25,2040,1,Offshore wind - floating,Nice,0.0
26,2040,1,Offshore wind - floating,Alpin,0.0
27,2040,1,SMR,Marseille,0.0
28,2040,1,SMR,Nice,0.0
29,2040,1,SMR,Alpin,0.0
30,2040,1,CCS1,Marseille,0.0
31,2040,1,CCS1,Nice,0.0
32,2040,1,CCS1,Alpin,0.0
33,2040,1,Onshore wind,Marseille,554.5586592
34,2040,1,Onshore wind,Nice,159.5738592
35,2040,1,Onshore wind,Alpin,82.1568384
36,2040,4101,Existing SMR,Marseille,0.0
37,2040,4101,Existing SMR,Nice,0.0
38,2040,4101,Existing SMR,Alpin,0.0
39,2040,4101,ElectrolysisS,Marseille,0.0
40,2040,4101,ElectrolysisS,Nice,0.0
41,2040,4101,ElectrolysisS,Alpin,0.0
42,2040,4101,CCS2,Marseille,0.0
43,2040,4101,CCS2,Nice,0.0
44,2040,4101,CCS2,Alpin,0.0
45,2040,4101,SMR + CCS1,Marseille,0.0
46,2040,4101,SMR + CCS1,Nice,0.0
47,2040,4101,SMR + CCS1,Alpin,0.0
48,2040,4101,ElectrolysisL,Marseille,900.0
49,2040,4101,ElectrolysisL,Nice,260.96883065316655
50,2040,4101,ElectrolysisL,Alpin,100.0
51,2040,4101,SMR + CCS2,Marseille,0.0
52,2040,4101,SMR + CCS2,Nice,0.0
53,2040,4101,SMR + CCS2,Alpin,0.0
54,2040,4101,Ground PV,Marseille,0.0
55,2040,4101,Ground PV,Nice,0.0
56,2040,4101,Ground PV,Alpin,0.0
57,2040,4101,ElectrolysisM,Marseille,14.214963119072763
58,2040,4101,ElectrolysisM,Nice,0.0
59,2040,4101,ElectrolysisM,Alpin,32.360379346680716
60,2040,4101,Offshore wind - floating,Marseille,0.0
61,2040,4101,Offshore wind - floating,Nice,0.0
62,2040,4101,Offshore wind - floating,Alpin,0.0
63,2040,4101,SMR,Marseille,0.0
64,2040,4101,SMR,Nice,0.0
65,2040,4101,SMR,Alpin,0.0
66,2040,4101,CCS1,Marseille,0.0
67,2040,4101,CCS1,Nice,0.0
68,2040,4101,CCS1,Alpin,0.0
69,2040,4101,Onshore wind,Marseille,125.5015944
70,2040,4101,Onshore wind,Nice,36.1129944
71,2040,4101,Onshore wind,Alpin,18.5928288
72,2040,8201,Existing SMR,Marseille,0.0
73,2040,8201,Existing SMR,Nice,0.0
74,2040,8201,Existing SMR,Alpin,0.0
75,2040,8201,ElectrolysisS,Marseille,0.0
76,2040,8201,ElectrolysisS,Nice,0.0
