,YEAR_invest,TRANS_TECHNO,AREA,AREA,TmaxTot_Pvar
62,2020,truckTransportingHydrogen,Alpin,Alpin,0.0
63,2020,Pipeline_L,Marseille,Marseille,0.0
64,2020,Pipeline_L,Marseille,Nice,0.0
65,2020,Pipeline_L,Marseille,Alpin,0.0
66,2020,Pipeline_L,Nice,Marseille,0.0
67,2020,Pipeline_L,Nice,Nice,0.0
68,2020,Pipeline_L,Nice,Alpin,0.0
69,2020,Pipeline_L,Alpin,Marseille,0.0
70,2020,Pipeline_L,Alpin,Nice,0.0
71,2020,Pipeline_L,Alpin,Alpin,0.0
72,2030,Pipeline_M,Marseille,Marseille,0.0
73,2030,Pipeline_M,Marseille,Nice,0.0
74,2030,Pipeline_M,Marseille,Alpin,0.0
75,2030,Pipeline_M,Nice,Marseille,0.0
76,2030,Pipeline_M,Nice,Nice,0.0
77,2030,Pipeline_M,Nice,Alpin,0.0
78,2030,Pipeline_M,Alpin,Marseille,0.0
79,2030,Pipeline_M,Alpin,Nice,0.0
80,2030,Pipeline_M,Alpin,Alpin,0.0
81,2030,Pipeline_S,Marseille,Marseille,0.0
82,2030,Pipeline_S,Marseille,Nice,0.0
83,2030,Pipeline_S,Marseille,Alpin,0.0
84,2030,Pipeline_S,Nice,Marseille,0.0
85,2030,Pipeline_S,Nice,Nice,0.0
86,2030,Pipeline_S,Nice,Alpin,2.0
87,2030,Pipeline_S,Alpin,Marseille,0.0
88,2030,Pipeline_S,Alpin,Nice,2.0
89,2030,Pipeline_S,Alpin,Alpin,0.0
90,2030,truckTransportingHydrogen,Marseille,Marseille,0.0
91,2030,truckTransportingHydrogen,Marseille,Nice,0.0
92,2030,truckTransportingHydrogen,Marseille,Alpin,0.0
93,2030,truckTransportingHydrogen,Nice,Marseille,0.0
94,2030,truckTransportingHydrogen,Nice,Nice,0.0
95,2030,truckTransportingHydrogen,Nice,Alpin,0.0
96,2030,truckTransportingHydrogen,Alpin,Marseille,0.0
97,2030,truckTransportingHydrogen,Alpin,Nice,0.0
98,2030,truckTransportingHydrogen,Alpin,Alpin,0.0
99,2030,Pipeline_L,Marseille,Marseille,0.0
100,2030,Pipeline_L,Marseille,Nice,0.0
101,2030,Pipeline_L,Marseille,Alpin,0.0
102,2030,Pipeline_L,Nice,Marseille,0.0
103,2030,Pipeline_L,Nice,Nice,0.0
104,2030,Pipeline_L,Nice,Alpin,0.0
105,2030,Pipeline_L,Alpin,Marseille,0.0
106,2030,Pipeline_L,Alpin,Nice,0.0
107,2030,Pipeline_L,Alpin,Alpin,0.0
