,YEAR_invest,YEAR_invest,TECHNOLOGIES,AREA,capacityDel_Pvar
68,2040,2020,SMR + CCS2,Alpin,0.0
69,2040,2020,Onshore wind,Marseille,0.0
70,2040,2020,Onshore wind,Nice,0.0
71,2040,2020,Onshore wind,Alpin,0.0
72,2040,2030,Offshore wind - floating,Marseille,0.0
73,2040,2030,Offshore wind - floating,Nice,0.0
74,2040,2030,Offshore wind - floating,Alpin,0.0
75,2040,2030,ElectrolysisM,Marseille,0.0
76,2040,2030,ElectrolysisM,Nice,0.0
77,2040,2030,ElectrolysisM,Alpin,0.0
78,2040,2030,CCS2,Marseille,0.0
79,2040,2030,CCS2,Nice,0.0
80,2040,2030,CCS2,Alpin,0.0
81,2040,2030,Ground PV,Marseille,0.0
82,2040,2030,Ground PV,Nice,0.0
83,2040,2030,Ground PV,Alpin,0.0
84,2040,2030,SMR,Marseille,0.0
85,2040,2030,SMR,Nice,0.0
86,2040,2030,SMR,Alpin,0.0
87,2040,2030,SMR + CCS1,Marseille,0.0
88,2040,2030,SMR + CCS1,Nice,0.0
89,2040,2030,SMR + CCS1,Alpin,0.0
90,2040,2030,CCS1,Marseille,0.0
91,2040,2030,CCS1,Nice,0.0
92,2040,2030,CCS1,Alpin,0.0
93,2040,2030,ElectrolysisS,Marseille,0.0
94,2040,2030,ElectrolysisS,Nice,0.0
95,2040,2030,ElectrolysisS,Alpin,0.0
96,2040,2030,Existing SMR,Marseille,0.0
97,2040,2030,Existing SMR,Nice,0.0
98,2040,2030,Existing SMR,Alpin,0.0
99,2040,2030,ElectrolysisL,Marseille,0.0
100,2040,2030,ElectrolysisL,Nice,0.0
101,2040,2030,ElectrolysisL,Alpin,0.0
102,2040,2030,SMR + CCS2,Marseille,0.0
103,2040,2030,SMR + CCS2,Nice,0.0
104,2040,2030,SMR + CCS2,Alpin,0.0
105,2040,2030,Onshore wind,Marseille,0.0
106,2040,2030,Onshore wind,Nice,0.0
107,2040,2030,Onshore wind,Alpin,0.0
108,2020,2040,Offshore wind - floating,Marseille,0.0
109,2020,2040,Offshore wind - floating,Nice,0.0
110,2020,2040,Offshore wind - floating,Alpin,0.0
111,2020,2040,ElectrolysisM,Marseille,0.0
112,2020,2040,ElectrolysisM,Nice,0.0
113,2020,2040,ElectrolysisM,Alpin,0.0
114,2020,2040,CCS2,Marseille,0.0
115,2020,2040,CCS2,Nice,0.0
