,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,AREA,transInvest_Dvar
108,2040,Ground PV,Offshore wind - floating,Marseille,0.0
109,2040,Ground PV,Offshore wind - floating,Nice,0.0
110,2040,Ground PV,Offshore wind - floating,Alpin,0.0
111,2040,Ground PV,ElectrolysisM,Marseille,0.0
112,2040,Ground PV,ElectrolysisM,Nice,0.0
113,2040,Ground PV,ElectrolysisM,Alpin,0.0
114,2040,Ground PV,CCS2,Marseille,0.0
115,2040,Ground PV,CCS2,Nice,0.0
116,2040,Ground PV,CCS2,Alpin,0.0
117,2040,Ground PV,Ground PV,Marseille,0.0
118,2040,Ground PV,Ground PV,Nice,0.0
119,2040,Ground PV,Ground PV,Alpin,0.0
120,2040,Ground PV,SMR,Marseille,0.0
121,2040,Ground PV,SMR,Nice,0.0
122,2040,Ground PV,SMR,Alpin,0.0
123,2040,Ground PV,SMR + CCS1,Marseille,0.0
124,2040,Ground PV,SMR + CCS1,Nice,0.0
125,2040,Ground PV,SMR + CCS1,Alpin,0.0
126,2040,Ground PV,CCS1,Marseille,0.0
127,2040,Ground PV,CCS1,Nice,0.0
128,2040,Ground PV,CCS1,Alpin,0.0
129,2040,Ground PV,ElectrolysisS,Marseille,0.0
130,2040,Ground PV,ElectrolysisS,Nice,0.0
131,2040,Ground PV,ElectrolysisS,Alpin,0.0
132,2040,Ground PV,Existing SMR,Marseille,0.0
133,2040,Ground PV,Existing SMR,Nice,0.0
134,2040,Ground PV,Existing SMR,Alpin,0.0
135,2040,Ground PV,ElectrolysisL,Marseille,0.0
136,2040,Ground PV,ElectrolysisL,Nice,0.0
137,2040,Ground PV,ElectrolysisL,Alpin,0.0
138,2040,Ground PV,SMR + CCS2,Marseille,0.0
139,2040,Ground PV,SMR + CCS2,Nice,0.0
140,2040,Ground PV,SMR + CCS2,Alpin,0.0
141,2040,Ground PV,Onshore wind,Marseille,0.0
142,2040,Ground PV,Onshore wind,Nice,0.0
