,YEAR_op,TIMESTAMP,AREA,carbon_Pvar
136,2040,1801,Nice,148.98915533182335
137,2040,1801,Alpin,0.0
138,2040,5901,Marseille,82010.9278869256
139,2040,5901,Nice,23408.909505136075
140,2040,5901,Alpin,11871.128956748596
141,2040,1301,Marseille,1408.3970513003137
142,2040,1301,Nice,179.9588112154046
143,2040,1301,Alpin,0.0
144,2040,5401,Marseille,301.3314621386718
145,2040,5401,Nice,38.50281542283076
146,2040,5401,Alpin,0.0
147,2040,801,Marseille,0.0
148,2040,801,Nice,94.58300310391033
149,2040,801,Alpin,0.0
150,2040,4901,Marseille,41548.13842663735
151,2040,4901,Nice,11859.03704320566
152,2040,4901,Alpin,6013.651542267313
153,2040,301,Marseille,53545.27437158612
154,2040,301,Nice,16170.072139291078
155,2040,301,Alpin,7755.848487934226
156,2040,4401,Marseille,29140.30441089584
157,2040,4401,Nice,9784.328163213495
158,2040,4401,Alpin,4227.969574088548
159,2040,8501,Marseille,23488.700336305694
160,2040,8501,Nice,6681.309460067163
161,2040,8501,Alpin,3365.889102627187
162,2040,3901,Marseille,12781.258444257544
163,2040,3901,Nice,8974.73661291083
164,2040,3901,Alpin,1898.0395266938247
165,2040,8001,Marseille,0.0
166,2040,8001,Nice,138.10792488624074
167,2040,8001,Alpin,0.0
168,2040,3401,Marseille,0.0
169,2040,3401,Nice,76.16861311907823
170,2040,3401,Alpin,0.0
171,2040,7501,Marseille,0.0
172,2040,7501,Nice,60.26527631399596
173,2040,7501,Alpin,0.0
174,2040,2901,Marseille,16829.970893800528
175,2040,2901,Nice,4798.798787016498
176,2040,2901,Alpin,2428.672657880295
177,2040,7001,Marseille,0.0
178,2040,7001,Nice,291.32650377349455
179,2040,7001,Alpin,0.0
180,2040,2401,Marseille,72474.3802657049
181,2040,2401,Nice,20684.68552096649
182,2040,2401,Alpin,10487.556394201138
183,2040,6501,Marseille,707.473867629925
184,2040,6501,Nice,90.39791447099394
185,2040,6501,Alpin,0.0
186,2040,1901,Marseille,7876.213515466292
187,2040,1901,Nice,2099.7528594267433
188,2040,1901,Alpin,922.0759280611173
189,2040,6001,Marseille,55099.821929942045
190,2040,6001,Nice,15723.94240082291
191,2040,6001,Alpin,7970.506929167545
192,2040,1401,Marseille,49191.383657789826
193,2040,1401,Nice,17632.665013437578
194,2040,1401,Alpin,7012.813012538943
195,2040,5501,Marseille,26392.668108636113
196,2040,5501,Nice,7533.691108874831
197,2040,5501,Alpin,3820.737545969741
198,2040,901,Marseille,0.0
199,2040,901,Nice,154.8482794179063
200,2040,901,Alpin,0.0
201,2040,5001,Marseille,0.0
202,2040,5001,Nice,64.45036494691234
203,2040,5001,Alpin,0.0
204,2040,401,Marseille,0.0
205,2040,401,Nice,158.196350324246
206,2040,401,Alpin,0.0
207,2040,4501,Marseille,5487.423917515601
208,2040,4501,Nice,4825.714510169665
209,2040,4501,Alpin,814.0616919309756
210,2040,8601,Marseille,409.343422676935
211,2040,8601,Nice,56.08018768107958
212,2040,8601,Alpin,0.0
213,2040,4001,Marseille,9991.669689097746
214,2040,4001,Nice,4733.644911675997
215,2040,4001,Alpin,1446.2639900803372
216,2040,8101,Marseille,35255.58221500637
217,2040,8101,Nice,22604.087976414572
218,2040,8101,Alpin,5217.977332284565
219,2040,3501,Marseille,5922.157184381454
220,2040,3501,Nice,1662.179035063331
221,2040,3501,Alpin,815.7791309336142
222,2040,7601,Marseille,40249.82843151209
223,2040,7601,Nice,13631.429732261573
224,2040,7601,Alpin,5731.116852138605
225,2040,3001,Marseille,11680.030682381455
226,2040,3001,Nice,3319.0030330633313
