,YEAR_op,AREA,carbonCosts_Pvar
0,2040,Marseille,11292064.298088117
1,2040,Nice,4095278.838886286
2,2040,Alpin,1615426.1055241735
3,2050,Marseille,8306335.429113946
4,2050,Nice,3369604.626305721
5,2050,Alpin,1190683.7470391947
6,2030,Marseille,22398683.739739455
7,2030,Nice,9804677.240597632
8,2030,Alpin,2432565.4615062783
