,YEAR_op,TIMESTAMP,RESOURCES,AREA,importation_Dvar
0,2040,1,natural gas,Marseille,0.0
1,2040,1,natural gas,Nice,0.0
2,2040,1,natural gas,Alpin,0.0
3,2040,1,gas,Marseille,7.105427357601002e-15
4,2040,1,gas,Nice,0.0
5,2040,1,gas,Alpin,0.0
6,2040,1,biogas,Marseille,0.0
7,2040,1,biogas,Nice,0.0
8,2040,1,biogas,Alpin,0.0
9,2040,1,hydrogen,Marseille,0.0
10,2040,1,hydrogen,Nice,0.0
11,2040,1,hydrogen,Alpin,0.0
12,2040,1,electricity,Marseille,359.6563039190728
13,2040,1,electricity,Nice,101.39497145316658
14,2040,1,electricity,Alpin,50.20354094668072
15,2040,4101,natural gas,Marseille,0.0
16,2040,4101,natural gas,Nice,0.0
17,2040,4101,natural gas,Alpin,0.0
18,2040,4101,gas,Marseille,-2.842170943040401e-14
19,2040,4101,gas,Nice,-7.105427357601002e-15
20,2040,4101,gas,Alpin,-3.552713678800501e-15
21,2040,4101,biogas,Marseille,0.0
22,2040,4101,biogas,Nice,0.0
23,2040,4101,biogas,Alpin,0.0
24,2040,4101,hydrogen,Marseille,0.0
25,2040,4101,hydrogen,Nice,0.0
26,2040,4101,hydrogen,Alpin,0.0
27,2040,4101,electricity,Marseille,788.7133687190727
28,2040,4101,electricity,Nice,224.85583625316656
29,2040,4101,electricity,Alpin,113.76755054668072
30,2040,8201,natural gas,Marseille,0.0
31,2040,8201,natural gas,Nice,0.0
32,2040,8201,natural gas,Alpin,0.0
33,2040,8201,gas,Marseille,-5.684341886080802e-14
34,2040,8201,gas,Nice,0.0
35,2040,8201,gas,Alpin,-7.105427357601002e-15
36,2040,8201,biogas,Marseille,0.0
37,2040,8201,biogas,Nice,0.0
38,2040,8201,biogas,Alpin,0.0
39,2040,8201,hydrogen,Marseille,0.0
40,2040,8201,hydrogen,Nice,0.0
41,2040,8201,hydrogen,Alpin,0.0
42,2040,8201,electricity,Marseille,905.2818850040728
43,2040,8201,electricity,Nice,258.3983437881666
44,2040,8201,electricity,Alpin,131.03696036668072
45,2040,3601,natural gas,Marseille,0.0
46,2040,3601,natural gas,Nice,0.0
47,2040,3601,natural gas,Alpin,0.0
48,2040,3601,gas,Marseille,0.0
49,2040,3601,gas,Nice,0.0
50,2040,3601,gas,Alpin,0.0
51,2040,3601,biogas,Marseille,0.0
52,2040,3601,biogas,Nice,0.0
53,2040,3601,biogas,Alpin,0.0
54,2040,3601,hydrogen,Marseille,0.0
55,2040,3601,hydrogen,Nice,0.0
56,2040,3601,hydrogen,Alpin,0.0
57,2040,3601,electricity,Marseille,13.101367919072686
58,2040,3601,electricity,Nice,1.6740354531665544
59,2040,3601,electricity,Alpin,0.0
60,2040,7701,natural gas,Marseille,0.0
