,YEAR_op,TIMESTAMP,RESOURCES,STOCK_TECHNO,AREA,storageConsumption_Pvar
119,2040,3601,natural gas,Salt cavern,Alpin,0.0
120,2040,7701,biogas,Battery,Nice,0.0
121,2040,7701,biogas,Battery,Marseille,0.0
122,2040,7701,biogas,Battery,Alpin,0.0
123,2040,7701,biogas,Salt cavern,Nice,0.0
124,2040,7701,biogas,Salt cavern,Marseille,0.0
125,2040,7701,biogas,Salt cavern,Alpin,0.0
126,2040,7701,gas,Battery,Nice,0.0
127,2040,7701,gas,Battery,Marseille,0.0
128,2040,7701,gas,Battery,Alpin,0.0
129,2040,7701,gas,Salt cavern,Nice,0.0
130,2040,7701,gas,Salt cavern,Marseille,0.0
131,2040,7701,gas,Salt cavern,Alpin,0.0
132,2040,7701,electricity,Battery,Nice,0.0
133,2040,7701,electricity,Battery,Marseille,0.0
134,2040,7701,electricity,Battery,Alpin,0.0
135,2040,7701,electricity,Salt cavern,Nice,0.0
136,2040,7701,electricity,Salt cavern,Marseille,0.0
137,2040,7701,electricity,Salt cavern,Alpin,0.0
138,2040,7701,hydrogen,Battery,Nice,0.0
139,2040,7701,hydrogen,Battery,Marseille,0.0
140,2040,7701,hydrogen,Battery,Alpin,0.0
141,2040,7701,hydrogen,Salt cavern,Nice,0.0
142,2040,7701,hydrogen,Salt cavern,Marseille,0.0
143,2040,7701,hydrogen,Salt cavern,Alpin,0.0
144,2040,7701,natural gas,Battery,Nice,0.0
145,2040,7701,natural gas,Battery,Marseille,0.0
146,2040,7701,natural gas,Battery,Alpin,0.0
147,2040,7701,natural gas,Salt cavern,Nice,0.0
148,2040,7701,natural gas,Salt cavern,Marseille,0.0
149,2040,7701,natural gas,Salt cavern,Alpin,0.0
150,2040,3101,biogas,Battery,Nice,0.0
151,2040,3101,biogas,Battery,Marseille,0.0
152,2040,3101,biogas,Battery,Alpin,0.0
153,2040,3101,biogas,Salt cavern,Nice,0.0
154,2040,3101,biogas,Salt cavern,Marseille,0.0
155,2040,3101,biogas,Salt cavern,Alpin,0.0
156,2040,3101,gas,Battery,Nice,0.0
157,2040,3101,gas,Battery,Marseille,0.0
158,2040,3101,gas,Battery,Alpin,0.0
159,2040,3101,gas,Salt cavern,Nice,0.0
160,2040,3101,gas,Salt cavern,Marseille,0.0
161,2040,3101,gas,Salt cavern,Alpin,0.0
162,2040,3101,electricity,Battery,Nice,0.0
163,2040,3101,electricity,Battery,Marseille,0.0
164,2040,3101,electricity,Battery,Alpin,0.0
165,2040,3101,electricity,Salt cavern,Nice,0.0
166,2040,3101,electricity,Salt cavern,Marseille,0.0
167,2040,3101,electricity,Salt cavern,Alpin,0.0
168,2040,3101,hydrogen,Battery,Nice,0.0
169,2040,3101,hydrogen,Battery,Marseille,0.0
170,2040,3101,hydrogen,Battery,Alpin,0.0
171,2040,3101,hydrogen,Salt cavern,Nice,0.0
172,2040,3101,hydrogen,Salt cavern,Marseille,0.0
173,2040,3101,hydrogen,Salt cavern,Alpin,0.0
174,2040,3101,natural gas,Battery,Nice,0.0
175,2040,3101,natural gas,Battery,Marseille,0.0
176,2040,3101,natural gas,Battery,Alpin,0.0
177,2040,3101,natural gas,Salt cavern,Nice,0.0
178,2040,3101,natural gas,Salt cavern,Marseille,0.0
179,2040,3101,natural gas,Salt cavern,Alpin,0.0
180,2040,7201,biogas,Battery,Nice,0.0
181,2040,7201,biogas,Battery,Marseille,0.0
182,2040,7201,biogas,Battery,Alpin,0.0
183,2040,7201,biogas,Salt cavern,Nice,0.0
184,2040,7201,biogas,Salt cavern,Marseille,0.0
185,2040,7201,biogas,Salt cavern,Alpin,0.0
186,2040,7201,gas,Battery,Nice,0.0
187,2040,7201,gas,Battery,Marseille,0.0
188,2040,7201,gas,Battery,Alpin,0.0
189,2040,7201,gas,Salt cavern,Nice,0.0
190,2040,7201,gas,Salt cavern,Marseille,0.0
191,2040,7201,gas,Salt cavern,Alpin,0.0
192,2040,7201,electricity,Battery,Nice,0.0
193,2040,7201,electricity,Battery,Marseille,0.0
194,2040,7201,electricity,Battery,Alpin,0.0
195,2040,7201,electricity,Salt cavern,Nice,0.0
196,2040,7201,electricity,Salt cavern,Marseille,0.0
197,2040,7201,electricity,Salt cavern,Alpin,0.0
198,2040,7201,hydrogen,Battery,Nice,0.0
199,2040,7201,hydrogen,Battery,Marseille,0.0
200,2040,7201,hydrogen,Battery,Alpin,0.0
201,2040,7201,hydrogen,Salt cavern,Nice,0.0
202,2040,7201,hydrogen,Salt cavern,Marseille,0.0
203,2040,7201,hydrogen,Salt cavern,Alpin,0.0
204,2040,7201,natural gas,Battery,Nice,0.0
205,2040,7201,natural gas,Battery,Marseille,0.0
206,2040,7201,natural gas,Battery,Alpin,0.0
207,2040,7201,natural gas,Salt cavern,Nice,0.0
208,2040,7201,natural gas,Salt cavern,Marseille,0.0
209,2040,7201,natural gas,Salt cavern,Alpin,0.0
210,2040,2601,biogas,Battery,Nice,0.0
211,2040,2601,biogas,Battery,Marseille,0.0
212,2040,2601,biogas,Battery,Alpin,0.0
213,2040,2601,biogas,Salt cavern,Nice,0.0
214,2040,2601,biogas,Salt cavern,Marseille,0.0
215,2040,2601,biogas,Salt cavern,Alpin,0.0
216,2040,2601,gas,Battery,Nice,0.0
217,2040,2601,gas,Battery,Marseille,0.0
218,2040,2601,gas,Battery,Alpin,0.0
219,2040,2601,gas,Salt cavern,Nice,0.0
220,2040,2601,gas,Salt cavern,Marseille,0.0
221,2040,2601,gas,Salt cavern,Alpin,0.0
222,2040,2601,electricity,Battery,Nice,0.0
223,2040,2601,electricity,Battery,Marseille,0.0
224,2040,2601,electricity,Battery,Alpin,0.0
225,2040,2601,electricity,Salt cavern,Nice,0.0
226,2040,2601,electricity,Salt cavern,Marseille,0.0
227,2040,2601,electricity,Salt cavern,Alpin,0.0
228,2040,2601,hydrogen,Battery,Nice,0.0
229,2040,2601,hydrogen,Battery,Marseille,0.0
230,2040,2601,hydrogen,Battery,Alpin,0.0
231,2040,2601,hydrogen,Salt cavern,Nice,0.0
232,2040,2601,hydrogen,Salt cavern,Marseille,0.0
233,2040,2601,hydrogen,Salt cavern,Alpin,0.0
234,2040,2601,natural gas,Battery,Nice,0.0
235,2040,2601,natural gas,Battery,Marseille,0.0
236,2040,2601,natural gas,Battery,Alpin,0.0
237,2040,2601,natural gas,Salt cavern,Nice,0.0
238,2040,2601,natural gas,Salt cavern,Marseille,0.0
239,2040,2601,natural gas,Salt cavern,Alpin,0.0
240,2040,6701,biogas,Battery,Nice,0.0
241,2040,6701,biogas,Battery,Marseille,0.0
242,2040,6701,biogas,Battery,Alpin,0.0
243,2040,6701,biogas,Salt cavern,Nice,0.0
244,2040,6701,biogas,Salt cavern,Marseille,0.0
245,2040,6701,biogas,Salt cavern,Alpin,0.0
246,2040,6701,gas,Battery,Nice,0.0
247,2040,6701,gas,Battery,Marseille,0.0
248,2040,6701,gas,Battery,Alpin,0.0
249,2040,6701,gas,Salt cavern,Nice,0.0
250,2040,6701,gas,Salt cavern,Marseille,0.0
251,2040,6701,gas,Salt cavern,Alpin,0.0
252,2040,6701,electricity,Battery,Nice,0.0
253,2040,6701,electricity,Battery,Marseille,0.0
254,2040,6701,electricity,Battery,Alpin,0.0
255,2040,6701,electricity,Salt cavern,Nice,0.0
256,2040,6701,electricity,Salt cavern,Marseille,0.0
257,2040,6701,electricity,Salt cavern,Alpin,0.0
258,2040,6701,hydrogen,Battery,Nice,0.0
259,2040,6701,hydrogen,Battery,Marseille,0.0
260,2040,6701,hydrogen,Battery,Alpin,0.0
261,2040,6701,hydrogen,Salt cavern,Nice,0.0
262,2040,6701,hydrogen,Salt cavern,Marseille,0.0
263,2040,6701,hydrogen,Salt cavern,Alpin,0.0
264,2040,6701,natural gas,Battery,Nice,0.0
265,2040,6701,natural gas,Battery,Marseille,0.0
266,2040,6701,natural gas,Battery,Alpin,0.0
267,2040,6701,natural gas,Salt cavern,Nice,0.0
268,2040,6701,natural gas,Salt cavern,Marseille,0.0
269,2040,6701,natural gas,Salt cavern,Alpin,0.0
270,2040,2101,biogas,Battery,Nice,0.0
271,2040,2101,biogas,Battery,Marseille,0.0
272,2040,2101,biogas,Battery,Alpin,0.0
273,2040,2101,biogas,Salt cavern,Nice,0.0
274,2040,2101,biogas,Salt cavern,Marseille,0.0
275,2040,2101,biogas,Salt cavern,Alpin,0.0
276,2040,2101,gas,Battery,Nice,0.0
277,2040,2101,gas,Battery,Marseille,0.0
278,2040,2101,gas,Battery,Alpin,0.0
279,2040,2101,gas,Salt cavern,Nice,0.0
280,2040,2101,gas,Salt cavern,Marseille,0.0
281,2040,2101,gas,Salt cavern,Alpin,0.0
282,2040,2101,electricity,Battery,Nice,0.0
283,2040,2101,electricity,Battery,Marseille,0.0
284,2040,2101,electricity,Battery,Alpin,0.0
285,2040,2101,electricity,Salt cavern,Nice,0.0
286,2040,2101,electricity,Salt cavern,Marseille,0.0
287,2040,2101,electricity,Salt cavern,Alpin,0.0
288,2040,2101,hydrogen,Battery,Nice,0.0
289,2040,2101,hydrogen,Battery,Marseille,0.0
290,2040,2101,hydrogen,Battery,Alpin,0.0
291,2040,2101,hydrogen,Salt cavern,Nice,0.0
292,2040,2101,hydrogen,Salt cavern,Marseille,0.0
293,2040,2101,hydrogen,Salt cavern,Alpin,0.0
294,2040,2101,natural gas,Battery,Nice,0.0
295,2040,2101,natural gas,Battery,Marseille,0.0
296,2040,2101,natural gas,Battery,Alpin,0.0
297,2040,2101,natural gas,Salt cavern,Nice,0.0
298,2040,2101,natural gas,Salt cavern,Marseille,0.0
299,2040,2101,natural gas,Salt cavern,Alpin,0.0
300,2040,6201,biogas,Battery,Nice,0.0
301,2040,6201,biogas,Battery,Marseille,0.0
302,2040,6201,biogas,Battery,Alpin,0.0
303,2040,6201,biogas,Salt cavern,Nice,0.0
304,2040,6201,biogas,Salt cavern,Marseille,0.0
305,2040,6201,biogas,Salt cavern,Alpin,0.0
306,2040,6201,gas,Battery,Nice,0.0
307,2040,6201,gas,Battery,Marseille,0.0
308,2040,6201,gas,Battery,Alpin,0.0
309,2040,6201,gas,Salt cavern,Nice,0.0
310,2040,6201,gas,Salt cavern,Marseille,0.0
311,2040,6201,gas,Salt cavern,Alpin,0.0
312,2040,6201,electricity,Battery,Nice,0.0
313,2040,6201,electricity,Battery,Marseille,0.0
314,2040,6201,electricity,Battery,Alpin,0.0
315,2040,6201,electricity,Salt cavern,Nice,0.0
316,2040,6201,electricity,Salt cavern,Marseille,0.0
317,2040,6201,electricity,Salt cavern,Alpin,0.0
318,2040,6201,hydrogen,Battery,Nice,0.0
319,2040,6201,hydrogen,Battery,Marseille,0.0
320,2040,6201,hydrogen,Battery,Alpin,0.0
321,2040,6201,hydrogen,Salt cavern,Nice,0.0
322,2040,6201,hydrogen,Salt cavern,Marseille,0.0
323,2040,6201,hydrogen,Salt cavern,Alpin,0.0
324,2040,6201,natural gas,Battery,Nice,0.0
325,2040,6201,natural gas,Battery,Marseille,0.0
326,2040,6201,natural gas,Battery,Alpin,0.0
327,2040,6201,natural gas,Salt cavern,Nice,0.0
328,2040,6201,natural gas,Salt cavern,Marseille,0.0
329,2040,6201,natural gas,Salt cavern,Alpin,0.0
330,2040,1601,biogas,Battery,Nice,0.0
331,2040,1601,biogas,Battery,Marseille,0.0
332,2040,1601,biogas,Battery,Alpin,0.0
333,2040,1601,biogas,Salt cavern,Nice,0.0
334,2040,1601,biogas,Salt cavern,Marseille,0.0
335,2040,1601,biogas,Salt cavern,Alpin,0.0
336,2040,1601,gas,Battery,Nice,0.0
337,2040,1601,gas,Battery,Marseille,0.0
338,2040,1601,gas,Battery,Alpin,0.0
339,2040,1601,gas,Salt cavern,Nice,0.0
340,2040,1601,gas,Salt cavern,Marseille,0.0
341,2040,1601,gas,Salt cavern,Alpin,0.0
342,2040,1601,electricity,Battery,Nice,0.0
343,2040,1601,electricity,Battery,Marseille,0.0
344,2040,1601,electricity,Battery,Alpin,0.0
345,2040,1601,electricity,Salt cavern,Nice,0.0
346,2040,1601,electricity,Salt cavern,Marseille,0.0
347,2040,1601,electricity,Salt cavern,Alpin,0.0
348,2040,1601,hydrogen,Battery,Nice,0.0
349,2040,1601,hydrogen,Battery,Marseille,0.0
350,2040,1601,hydrogen,Battery,Alpin,0.0
351,2040,1601,hydrogen,Salt cavern,Nice,0.0
352,2040,1601,hydrogen,Salt cavern,Marseille,0.0
353,2040,1601,hydrogen,Salt cavern,Alpin,0.0
354,2040,1601,natural gas,Battery,Nice,0.0
355,2040,1601,natural gas,Battery,Marseille,0.0
356,2040,1601,natural gas,Battery,Alpin,0.0
357,2040,1601,natural gas,Salt cavern,Nice,0.0
358,2040,1601,natural gas,Salt cavern,Marseille,0.0
359,2040,1601,natural gas,Salt cavern,Alpin,0.0
360,2040,5701,biogas,Battery,Nice,0.0
361,2040,5701,biogas,Battery,Marseille,0.0
362,2040,5701,biogas,Battery,Alpin,0.0
363,2040,5701,biogas,Salt cavern,Nice,0.0
364,2040,5701,biogas,Salt cavern,Marseille,0.0
365,2040,5701,biogas,Salt cavern,Alpin,0.0
366,2040,5701,gas,Battery,Nice,0.0
367,2040,5701,gas,Battery,Marseille,0.0
368,2040,5701,gas,Battery,Alpin,0.0
369,2040,5701,gas,Salt cavern,Nice,0.0
370,2040,5701,gas,Salt cavern,Marseille,0.0
371,2040,5701,gas,Salt cavern,Alpin,0.0
372,2040,5701,electricity,Battery,Nice,0.0
373,2040,5701,electricity,Battery,Marseille,0.0
374,2040,5701,electricity,Battery,Alpin,0.0
375,2040,5701,electricity,Salt cavern,Nice,0.0
376,2040,5701,electricity,Salt cavern,Marseille,0.0
377,2040,5701,electricity,Salt cavern,Alpin,0.0
378,2040,5701,hydrogen,Battery,Nice,0.0
379,2040,5701,hydrogen,Battery,Marseille,0.0
380,2040,5701,hydrogen,Battery,Alpin,0.0
381,2040,5701,hydrogen,Salt cavern,Nice,0.0
382,2040,5701,hydrogen,Salt cavern,Marseille,0.0
383,2040,5701,hydrogen,Salt cavern,Alpin,0.0
384,2040,5701,natural gas,Battery,Nice,0.0
385,2040,5701,natural gas,Battery,Marseille,0.0
386,2040,5701,natural gas,Battery,Alpin,0.0
387,2040,5701,natural gas,Salt cavern,Nice,0.0
388,2040,5701,natural gas,Salt cavern,Marseille,0.0
389,2040,5701,natural gas,Salt cavern,Alpin,0.0
390,2040,1101,biogas,Battery,Nice,0.0
391,2040,1101,biogas,Battery,Marseille,0.0
392,2040,1101,biogas,Battery,Alpin,0.0
393,2040,1101,biogas,Salt cavern,Nice,0.0
394,2040,1101,biogas,Salt cavern,Marseille,0.0
395,2040,1101,biogas,Salt cavern,Alpin,0.0
396,2040,1101,gas,Battery,Nice,0.0
397,2040,1101,gas,Battery,Marseille,0.0
398,2040,1101,gas,Battery,Alpin,0.0
399,2040,1101,gas,Salt cavern,Nice,0.0
400,2040,1101,gas,Salt cavern,Marseille,0.0
401,2040,1101,gas,Salt cavern,Alpin,0.0
402,2040,1101,electricity,Battery,Nice,0.0
403,2040,1101,electricity,Battery,Marseille,0.0
404,2040,1101,electricity,Battery,Alpin,0.0
405,2040,1101,electricity,Salt cavern,Nice,0.0
406,2040,1101,electricity,Salt cavern,Marseille,0.0
407,2040,1101,electricity,Salt cavern,Alpin,0.0
408,2040,1101,hydrogen,Battery,Nice,0.0
409,2040,1101,hydrogen,Battery,Marseille,0.0
410,2040,1101,hydrogen,Battery,Alpin,0.0
411,2040,1101,hydrogen,Salt cavern,Nice,0.0
412,2040,1101,hydrogen,Salt cavern,Marseille,0.0
413,2040,1101,hydrogen,Salt cavern,Alpin,0.0
414,2040,1101,natural gas,Battery,Nice,0.0
415,2040,1101,natural gas,Battery,Marseille,0.0
416,2040,1101,natural gas,Battery,Alpin,0.0
417,2040,1101,natural gas,Salt cavern,Nice,0.0
418,2040,1101,natural gas,Salt cavern,Marseille,0.0
419,2040,1101,natural gas,Salt cavern,Alpin,0.0
420,2040,5201,biogas,Battery,Nice,0.0
421,2040,5201,biogas,Battery,Marseille,0.0
422,2040,5201,biogas,Battery,Alpin,0.0
423,2040,5201,biogas,Salt cavern,Nice,0.0
424,2040,5201,biogas,Salt cavern,Marseille,0.0
425,2040,5201,biogas,Salt cavern,Alpin,0.0
426,2040,5201,gas,Battery,Nice,0.0
427,2040,5201,gas,Battery,Marseille,0.0
428,2040,5201,gas,Battery,Alpin,0.0
429,2040,5201,gas,Salt cavern,Nice,0.0
430,2040,5201,gas,Salt cavern,Marseille,0.0
431,2040,5201,gas,Salt cavern,Alpin,0.0
432,2040,5201,electricity,Battery,Nice,0.0
433,2040,5201,electricity,Battery,Marseille,0.0
434,2040,5201,electricity,Battery,Alpin,0.0
435,2040,5201,electricity,Salt cavern,Nice,0.0
436,2040,5201,electricity,Salt cavern,Marseille,0.0
437,2040,5201,electricity,Salt cavern,Alpin,0.0
438,2040,5201,hydrogen,Battery,Nice,0.0
439,2040,5201,hydrogen,Battery,Marseille,0.0
440,2040,5201,hydrogen,Battery,Alpin,0.0
441,2040,5201,hydrogen,Salt cavern,Nice,0.0
442,2040,5201,hydrogen,Salt cavern,Marseille,0.0
443,2040,5201,hydrogen,Salt cavern,Alpin,0.0
444,2040,5201,natural gas,Battery,Nice,0.0
445,2040,5201,natural gas,Battery,Marseille,0.0
446,2040,5201,natural gas,Battery,Alpin,0.0
447,2040,5201,natural gas,Salt cavern,Nice,0.0
448,2040,5201,natural gas,Salt cavern,Marseille,0.0
449,2040,5201,natural gas,Salt cavern,Alpin,0.0
450,2040,601,biogas,Battery,Nice,0.0
451,2040,601,biogas,Battery,Marseille,0.0
452,2040,601,biogas,Battery,Alpin,0.0
453,2040,601,biogas,Salt cavern,Nice,0.0
454,2040,601,biogas,Salt cavern,Marseille,0.0
455,2040,601,biogas,Salt cavern,Alpin,0.0
456,2040,601,gas,Battery,Nice,0.0
457,2040,601,gas,Battery,Marseille,0.0
458,2040,601,gas,Battery,Alpin,0.0
459,2040,601,gas,Salt cavern,Nice,0.0
460,2040,601,gas,Salt cavern,Marseille,0.0
461,2040,601,gas,Salt cavern,Alpin,0.0
462,2040,601,electricity,Battery,Nice,0.0
463,2040,601,electricity,Battery,Marseille,0.0
464,2040,601,electricity,Battery,Alpin,0.0
465,2040,601,electricity,Salt cavern,Nice,0.0
466,2040,601,electricity,Salt cavern,Marseille,0.0
467,2040,601,electricity,Salt cavern,Alpin,0.0
468,2040,601,hydrogen,Battery,Nice,0.0
469,2040,601,hydrogen,Battery,Marseille,0.0
470,2040,601,hydrogen,Battery,Alpin,0.0
471,2040,601,hydrogen,Salt cavern,Nice,0.0
472,2040,601,hydrogen,Salt cavern,Marseille,0.0
473,2040,601,hydrogen,Salt cavern,Alpin,0.0
474,2040,601,natural gas,Battery,Nice,0.0
475,2040,601,natural gas,Battery,Marseille,0.0
476,2040,601,natural gas,Battery,Alpin,0.0
477,2040,601,natural gas,Salt cavern,Nice,0.0
478,2040,601,natural gas,Salt cavern,Marseille,0.0
479,2040,601,natural gas,Salt cavern,Alpin,0.0
480,2040,4701,biogas,Battery,Nice,0.0
481,2040,4701,biogas,Battery,Marseille,0.0
482,2040,4701,biogas,Battery,Alpin,0.0
483,2040,4701,biogas,Salt cavern,Nice,0.0
484,2040,4701,biogas,Salt cavern,Marseille,0.0
485,2040,4701,biogas,Salt cavern,Alpin,0.0
486,2040,4701,gas,Battery,Nice,0.0
487,2040,4701,gas,Battery,Marseille,0.0
