,YEAR_op,TECHNOLOGIES,AREA,capacityCosts_Pvar
0,2040,Existing SMR,Alpin,0.0
1,2040,Existing SMR,Marseille,0.0
2,2040,Existing SMR,Nice,0.0
3,2040,Onshore wind,Alpin,16532243.857612174
4,2040,Onshore wind,Marseille,125632335.95019701
5,2040,Onshore wind,Nice,26832754.822533824
6,2040,Ground PV,Alpin,4804286.086699715
7,2040,Ground PV,Marseille,36859125.72475704
8,2040,Ground PV,Nice,0.0
9,2040,ElectrolysisS,Alpin,0.0
10,2040,ElectrolysisS,Marseille,0.0
11,2040,ElectrolysisS,Nice,0.0
12,2040,Offshore wind - floating,Alpin,0.0
13,2040,Offshore wind - floating,Marseille,0.0
14,2040,Offshore wind - floating,Nice,0.0
15,2040,CCS2,Alpin,0.0
16,2040,CCS2,Marseille,0.0
17,2040,CCS2,Nice,0.0
18,2040,CCS1,Alpin,0.0
19,2040,CCS1,Marseille,0.0
20,2040,CCS1,Nice,0.0
21,2040,SMR,Alpin,0.0
22,2040,SMR,Marseille,0.0
23,2040,SMR,Nice,0.0
24,2040,SMR + CCS2,Alpin,0.0
25,2040,SMR + CCS2,Marseille,0.0
26,2040,SMR + CCS2,Nice,0.0
27,2040,ElectrolysisL,Alpin,22553499.643812563
28,2040,ElectrolysisL,Marseille,151258820.2940361
29,2040,ElectrolysisL,Nice,33830249.46571884
30,2040,ElectrolysisM,Alpin,1046350.1135951312
31,2040,ElectrolysisM,Marseille,0.0
32,2040,ElectrolysisM,Nice,6519862.613726776
33,2040,SMR + CCS1,Alpin,0.0
34,2040,SMR + CCS1,Marseille,0.0
35,2040,SMR + CCS1,Nice,0.0
36,2050,Existing SMR,Alpin,0.0
37,2050,Existing SMR,Marseille,0.0
38,2050,Existing SMR,Nice,0.0
39,2050,Onshore wind,Alpin,26731915.086985335
40,2050,Onshore wind,Marseille,109667467.92403567
41,2050,Onshore wind,Nice,17632396.246894162
42,2050,Ground PV,Alpin,12537092.070746073
43,2050,Ground PV,Marseille,49435291.374882616
44,2050,Ground PV,Nice,0.0
45,2050,ElectrolysisS,Alpin,0.0
46,2050,ElectrolysisS,Marseille,0.0
47,2050,ElectrolysisS,Nice,0.0
48,2050,Offshore wind - floating,Alpin,0.0
49,2050,Offshore wind - floating,Marseille,0.0
50,2050,Offshore wind - floating,Nice,0.0
51,2050,CCS2,Alpin,0.0
52,2050,CCS2,Marseille,0.0
53,2050,CCS2,Nice,0.0
54,2050,CCS1,Alpin,0.0
55,2050,CCS1,Marseille,0.0
56,2050,CCS1,Nice,0.0
57,2050,SMR,Alpin,0.0
58,2050,SMR,Marseille,0.0
59,2050,SMR,Nice,0.0
60,2050,SMR + CCS2,Alpin,0.0
61,2050,SMR + CCS2,Marseille,0.0
62,2050,SMR + CCS2,Nice,0.0
63,2050,ElectrolysisL,Alpin,11308129.740208622
64,2050,ElectrolysisL,Marseille,52309579.10471872
65,2050,ElectrolysisL,Nice,5654064.870104311
66,2050,ElectrolysisM,Alpin,669878.4046348644
67,2050,ElectrolysisM,Marseille,0.0
68,2050,ElectrolysisM,Nice,0.0
69,2050,SMR + CCS1,Alpin,0.0
70,2050,SMR + CCS1,Marseille,0.0
71,2050,SMR + CCS1,Nice,0.0
72,2030,Existing SMR,Alpin,0.0
73,2030,Existing SMR,Marseille,8647221.360970221
74,2030,Existing SMR,Nice,0.0
75,2030,Onshore wind,Alpin,20230091.324622933
76,2030,Onshore wind,Marseille,137436175.98315263
77,2030,Onshore wind,Nice,0.0
78,2030,Ground PV,Alpin,0.0
79,2030,Ground PV,Marseille,106818.05825547827
80,2030,Ground PV,Nice,0.0
81,2030,ElectrolysisS,Alpin,0.0
82,2030,ElectrolysisS,Marseille,0.0
83,2030,ElectrolysisS,Nice,0.0
84,2030,Offshore wind - floating,Alpin,0.0
85,2030,Offshore wind - floating,Marseille,0.0
86,2030,Offshore wind - floating,Nice,0.0
87,2030,CCS2,Alpin,0.0
88,2030,CCS2,Marseille,0.0
89,2030,CCS2,Nice,0.0
90,2030,CCS1,Alpin,0.0
91,2030,CCS1,Marseille,0.0
92,2030,CCS1,Nice,0.0
93,2030,SMR,Alpin,0.0
94,2030,SMR,Marseille,0.0
95,2030,SMR,Nice,0.0
96,2030,SMR + CCS2,Alpin,0.0
97,2030,SMR + CCS2,Marseille,0.0
98,2030,SMR + CCS2,Nice,0.0
99,2030,ElectrolysisL,Alpin,33384688.952661466
100,2030,ElectrolysisL,Marseille,183615789.2396381
101,2030,ElectrolysisL,Nice,50077033.428992204
102,2030,ElectrolysisM,Alpin,0.0
103,2030,ElectrolysisM,Marseille,0.0
104,2030,ElectrolysisM,Nice,9894192.473199127
105,2030,SMR + CCS1,Alpin,-6.080621746425205e-09
106,2030,SMR + CCS1,Marseille,0.0
107,2030,SMR + CCS1,Nice,0.0
