,YEAR_op,TIMESTAMP,RESOURCES,AREA,importation_Dvar
0,2040,1,biogas,Nice,0.0
1,2040,1,biogas,Marseille,0.0
2,2040,1,biogas,Alpin,0.0
3,2040,1,gas,Nice,0.0
4,2040,1,gas,Marseille,1.4210854715202004e-14
5,2040,1,gas,Alpin,3.552713678800501e-15
6,2040,1,electricity,Nice,0.0
7,2040,1,electricity,Marseille,622.0176344615023
8,2040,1,electricity,Alpin,181.0548017448197
9,2040,1,hydrogen,Nice,0.0
10,2040,1,hydrogen,Marseille,0.0
11,2040,1,hydrogen,Alpin,0.0
12,2040,1,natural gas,Nice,0.0
13,2040,1,natural gas,Marseille,0.0
14,2040,1,natural gas,Alpin,0.0
15,2040,4101,biogas,Nice,0.0
16,2040,4101,biogas,Marseille,0.0
17,2040,4101,biogas,Alpin,0.0
18,2040,4101,gas,Nice,0.0
19,2040,4101,gas,Marseille,5.684341886080802e-14
20,2040,4101,gas,Alpin,-1.4210854715202004e-14
21,2040,4101,electricity,Nice,0.0
22,2040,4101,electricity,Marseille,1378.6738262328713
23,2040,4101,electricity,Alpin,416.9750681448197
24,2040,4101,hydrogen,Nice,0.0
25,2040,4101,hydrogen,Marseille,0.0
26,2040,4101,hydrogen,Alpin,0.0
27,2040,4101,natural gas,Nice,0.0
28,2040,4101,natural gas,Marseille,0.0
29,2040,4101,natural gas,Alpin,0.0
30,2040,8201,biogas,Nice,0.0
31,2040,8201,biogas,Marseille,0.0
32,2040,8201,biogas,Alpin,0.0
33,2040,8201,gas,Nice,0.0
34,2040,8201,gas,Marseille,-1.1368683772161603e-13
35,2040,8201,gas,Alpin,-5.684341886080802e-14
36,2040,8201,electricity,Nice,0.0
37,2040,8201,electricity,Marseille,1584.2462240531042
38,2040,8201,electricity,Alpin,481.07114689981967
39,2040,8201,hydrogen,Nice,0.0
40,2040,8201,hydrogen,Marseille,0.0
41,2040,8201,hydrogen,Alpin,0.0
42,2040,8201,natural gas,Nice,0.0
43,2040,8201,natural gas,Marseille,0.0
44,2040,8201,natural gas,Alpin,0.0
45,2040,3601,biogas,Nice,0.0
46,2040,3601,biogas,Marseille,0.0
47,2040,3601,biogas,Alpin,0.0
48,2040,3601,gas,Nice,0.0
49,2040,3601,gas,Marseille,5.551115123125783e-17
50,2040,3601,gas,Alpin,0.0
51,2040,3601,electricity,Nice,0.0
52,2040,3601,electricity,Marseille,1.3556037448197458
53,2040,3601,electricity,Alpin,0.0
54,2040,3601,hydrogen,Nice,0.0
55,2040,3601,hydrogen,Marseille,0.0
56,2040,3601,hydrogen,Alpin,0.0
57,2040,3601,natural gas,Nice,0.0
58,2040,3601,natural gas,Marseille,0.0
59,2040,3601,natural gas,Alpin,0.0
60,2040,7701,biogas,Nice,0.0
61,2040,7701,biogas,Marseille,0.0
62,2040,7701,biogas,Alpin,0.0
63,2040,7701,gas,Nice,0.0
64,2040,7701,gas,Marseille,0.0
65,2040,7701,gas,Alpin,0.0
66,2040,7701,electricity,Nice,0.0
67,2040,7701,electricity,Marseille,0.0
68,2040,7701,electricity,Alpin,1.3556037448199163
69,2040,7701,hydrogen,Nice,0.0
70,2040,7701,hydrogen,Marseille,0.0
71,2040,7701,hydrogen,Alpin,0.0
72,2040,7701,natural gas,Nice,0.0
73,2040,7701,natural gas,Marseille,0.0
74,2040,7701,natural gas,Alpin,0.0
75,2040,3101,biogas,Nice,0.0
76,2040,3101,biogas,Marseille,0.0
77,2040,3101,biogas,Alpin,0.0
78,2040,3101,gas,Nice,0.0
79,2040,3101,gas,Marseille,-2.842170943040401e-14
80,2040,3101,gas,Alpin,0.0
81,2040,3101,electricity,Nice,0.0
82,2040,3101,electricity,Marseille,1434.5066668250322
83,2040,3101,electricity,Alpin,434.3833689948197
84,2040,3101,hydrogen,Nice,0.0
85,2040,3101,hydrogen,Marseille,0.0
86,2040,3101,hydrogen,Alpin,0.0
87,2040,3101,natural gas,Nice,0.0
88,2040,3101,natural gas,Marseille,0.0
89,2040,3101,natural gas,Alpin,0.0
90,2040,7201,biogas,Nice,0.0
91,2040,7201,biogas,Marseille,0.0
92,2040,7201,biogas,Alpin,0.0
93,2040,7201,gas,Nice,0.0
94,2040,7201,gas,Marseille,-2.842170943040401e-14
95,2040,7201,gas,Alpin,0.0
96,2040,7201,electricity,Nice,0.0
97,2040,7201,electricity,Marseille,1583.034395991189
98,2040,7201,electricity,Alpin,480.6933071328197
99,2040,7201,hydrogen,Nice,0.0
100,2040,7201,hydrogen,Marseille,0.0
101,2040,7201,hydrogen,Alpin,0.0
102,2040,7201,natural gas,Nice,0.0
103,2040,7201,natural gas,Marseille,0.0
104,2040,7201,natural gas,Alpin,0.0
105,2040,2601,biogas,Nice,0.0
106,2040,2601,biogas,Marseille,0.0
107,2040,2601,biogas,Alpin,0.0
108,2040,2601,gas,Nice,0.0
109,2040,2601,gas,Marseille,0.0
110,2040,2601,gas,Alpin,0.0
111,2040,2601,electricity,Nice,0.0
112,2040,2601,electricity,Marseille,10.424174792512076
113,2040,2601,electricity,Alpin,9.801783871831958
114,2040,2601,hydrogen,Nice,0.0
115,2040,2601,hydrogen,Marseille,0.0
116,2040,2601,hydrogen,Alpin,0.0
117,2040,2601,natural gas,Nice,0.0
118,2040,2601,natural gas,Marseille,0.0
119,2040,2601,natural gas,Alpin,0.0
120,2040,6701,biogas,Nice,0.0
121,2040,6701,biogas,Marseille,0.0
122,2040,6701,biogas,Alpin,0.0
123,2040,6701,gas,Nice,0.0
124,2040,6701,gas,Marseille,0.0
125,2040,6701,gas,Alpin,0.0
126,2040,6701,electricity,Nice,0.0
127,2040,6701,electricity,Marseille,1570.5121584477333
128,2040,6701,electricity,Alpin,476.7889584348197
129,2040,6701,hydrogen,Nice,0.0
130,2040,6701,hydrogen,Marseille,0.0
131,2040,6701,hydrogen,Alpin,0.0
132,2040,6701,natural gas,Nice,0.0
133,2040,6701,natural gas,Marseille,0.0
134,2040,6701,natural gas,Alpin,0.0
135,2040,2101,biogas,Nice,0.0
136,2040,2101,biogas,Marseille,0.0
137,2040,2101,biogas,Alpin,0.0
138,2040,2101,gas,Nice,0.0
139,2040,2101,gas,Marseille,0.0
140,2040,2101,gas,Alpin,2.842170943040401e-14
141,2040,2101,electricity,Nice,0.0
142,2040,2101,electricity,Marseille,997.0133836666672
143,2040,2101,electricity,Alpin,319.3152774948319
144,2040,2101,hydrogen,Nice,0.0
145,2040,2101,hydrogen,Marseille,0.0
146,2040,2101,hydrogen,Alpin,0.0
147,2040,2101,natural gas,Nice,0.0
148,2040,2101,natural gas,Marseille,0.0
149,2040,2101,natural gas,Alpin,0.0
150,2040,6201,biogas,Nice,0.0
151,2040,6201,biogas,Marseille,0.0
152,2040,6201,biogas,Alpin,0.0
153,2040,6201,gas,Nice,0.0
154,2040,6201,gas,Marseille,0.0
155,2040,6201,gas,Alpin,0.0
156,2040,6201,electricity,Nice,0.0
157,2040,6201,electricity,Marseille,231.96451188428347
158,2040,6201,electricity,Alpin,63.38637255081966
159,2040,6201,hydrogen,Nice,0.0
160,2040,6201,hydrogen,Marseille,0.0
161,2040,6201,hydrogen,Alpin,0.0
162,2040,6201,natural gas,Nice,0.0
163,2040,6201,natural gas,Marseille,0.0
164,2040,6201,natural gas,Alpin,0.0
165,2040,1601,biogas,Nice,0.0
166,2040,1601,biogas,Marseille,0.0
167,2040,1601,biogas,Alpin,0.0
168,2040,1601,gas,Nice,0.0
169,2040,1601,gas,Marseille,-3.552713678800501e-15
170,2040,1601,gas,Alpin,0.0
171,2040,1601,electricity,Nice,0.0
172,2040,1601,electricity,Marseille,73.62570201027108
173,2040,1601,electricity,Alpin,31.05392090383185
174,2040,1601,hydrogen,Nice,0.0
175,2040,1601,hydrogen,Marseille,0.0
176,2040,1601,hydrogen,Alpin,0.0
177,2040,1601,natural gas,Nice,0.0
178,2040,1601,natural gas,Marseille,0.0
179,2040,1601,natural gas,Alpin,0.0
180,2040,5701,biogas,Nice,0.0
181,2040,5701,biogas,Marseille,0.0
182,2040,5701,biogas,Alpin,0.0
183,2040,5701,gas,Nice,0.0
184,2040,5701,gas,Marseille,0.0
185,2040,5701,gas,Alpin,0.0
186,2040,5701,electricity,Nice,0.0
187,2040,5701,electricity,Marseille,0.0
188,2040,5701,electricity,Alpin,0.0
189,2040,5701,hydrogen,Nice,0.0
190,2040,5701,hydrogen,Marseille,0.0
191,2040,5701,hydrogen,Alpin,0.0
192,2040,5701,natural gas,Nice,0.0
193,2040,5701,natural gas,Marseille,0.0
194,2040,5701,natural gas,Alpin,0.0
195,2040,1101,biogas,Nice,0.0
196,2040,1101,biogas,Marseille,0.0
197,2040,1101,biogas,Alpin,0.0
198,2040,1101,gas,Nice,0.0
199,2040,1101,gas,Marseille,0.0
200,2040,1101,gas,Alpin,0.0
201,2040,1101,electricity,Nice,0.0
202,2040,1101,electricity,Marseille,0.0
203,2040,1101,electricity,Alpin,1.3556037448199163
204,2040,1101,hydrogen,Nice,0.0
205,2040,1101,hydrogen,Marseille,0.0
206,2040,1101,hydrogen,Alpin,0.0
207,2040,1101,natural gas,Nice,0.0
208,2040,1101,natural gas,Marseille,0.0
209,2040,1101,natural gas,Alpin,0.0
210,2040,5201,biogas,Nice,0.0
211,2040,5201,biogas,Marseille,0.0
212,2040,5201,biogas,Alpin,0.0
213,2040,5201,gas,Nice,0.0
214,2040,5201,gas,Marseille,0.0
215,2040,5201,gas,Alpin,0.0
216,2040,5201,electricity,Nice,0.0
217,2040,5201,electricity,Marseille,880.5385920726304
218,2040,5201,electricity,Alpin,266.5321877238197
219,2040,5201,hydrogen,Nice,0.0
220,2040,5201,hydrogen,Marseille,0.0
221,2040,5201,hydrogen,Alpin,0.0
222,2040,5201,natural gas,Nice,0.0
223,2040,5201,natural gas,Marseille,0.0
224,2040,5201,natural gas,Alpin,0.0
225,2040,601,biogas,Nice,0.0
226,2040,601,biogas,Marseille,0.0
227,2040,601,biogas,Alpin,0.0
228,2040,601,gas,Nice,0.0
229,2040,601,gas,Marseille,0.0
230,2040,601,gas,Alpin,-2.842170943040401e-14
231,2040,601,electricity,Nice,0.0
232,2040,601,electricity,Marseille,1088.4271401136991
233,2040,601,electricity,Alpin,326.4781208448197
234,2040,601,hydrogen,Nice,0.0
235,2040,601,hydrogen,Marseille,0.0
236,2040,601,hydrogen,Alpin,0.0
237,2040,601,natural gas,Nice,0.0
238,2040,601,natural gas,Marseille,0.0
239,2040,601,natural gas,Alpin,0.0
240,2040,4701,biogas,Nice,0.0
241,2040,4701,biogas,Marseille,0.0
242,2040,4701,biogas,Alpin,0.0
243,2040,4701,gas,Nice,0.0
244,2040,4701,gas,Marseille,-5.684341886080802e-14
245,2040,4701,gas,Alpin,-1.4210854715202004e-14
246,2040,4701,electricity,Nice,0.0
247,2040,4701,electricity,Marseille,957.9864461152006
248,2040,4701,electricity,Alpin,285.8075975448197
249,2040,4701,hydrogen,Nice,0.0
250,2040,4701,hydrogen,Marseille,0.0
251,2040,4701,hydrogen,Alpin,0.0
252,2040,4701,natural gas,Nice,0.0
253,2040,4701,natural gas,Marseille,0.0
254,2040,4701,natural gas,Alpin,0.0
255,2040,101,biogas,Nice,0.0
256,2040,101,biogas,Marseille,0.0
257,2040,101,biogas,Alpin,0.0
258,2040,101,gas,Nice,0.0
259,2040,101,gas,Marseille,0.0
260,2040,101,gas,Alpin,0.0
261,2040,101,electricity,Nice,0.0
262,2040,101,electricity,Marseille,566.9371574199099
263,2040,101,electricity,Alpin,163.8810827448197
264,2040,101,hydrogen,Nice,0.0
265,2040,101,hydrogen,Marseille,0.0
266,2040,101,hydrogen,Alpin,0.0
267,2040,101,natural gas,Nice,0.0
268,2040,101,natural gas,Marseille,0.0
269,2040,101,natural gas,Alpin,0.0
270,2040,4201,biogas,Nice,0.0
271,2040,4201,biogas,Marseille,0.0
272,2040,4201,biogas,Alpin,0.0
273,2040,4201,gas,Nice,0.0
274,2040,4201,gas,Marseille,0.0
275,2040,4201,gas,Alpin,0.0
276,2040,4201,electricity,Nice,0.0
277,2040,4201,electricity,Marseille,1.3556037448197458
278,2040,4201,electricity,Alpin,0.0
279,2040,4201,hydrogen,Nice,0.0
280,2040,4201,hydrogen,Marseille,0.0
281,2040,4201,hydrogen,Alpin,0.0
282,2040,4201,natural gas,Nice,0.0
283,2040,4201,natural gas,Marseille,0.0
284,2040,4201,natural gas,Alpin,0.0
285,2040,8301,biogas,Nice,0.0
286,2040,8301,biogas,Marseille,0.0
287,2040,8301,biogas,Alpin,0.0
288,2040,8301,gas,Nice,0.0
289,2040,8301,gas,Marseille,0.0
290,2040,8301,gas,Alpin,0.0
291,2040,8301,electricity,Nice,0.0
292,2040,8301,electricity,Marseille,1577.7831305332238
293,2040,8301,electricity,Alpin,479.05599819481967
294,2040,8301,hydrogen,Nice,0.0
295,2040,8301,hydrogen,Marseille,0.0
296,2040,8301,hydrogen,Alpin,0.0
297,2040,8301,natural gas,Nice,0.0
298,2040,8301,natural gas,Marseille,0.0
299,2040,8301,natural gas,Alpin,0.0
300,2040,3701,biogas,Nice,0.0
301,2040,3701,biogas,Marseille,0.0
302,2040,3701,biogas,Alpin,0.0
303,2040,3701,gas,Nice,0.0
304,2040,3701,gas,Marseille,0.0
305,2040,3701,gas,Alpin,0.0
306,2040,3701,electricity,Nice,0.0
307,2040,3701,electricity,Marseille,1494.2199689001231
308,2040,3701,electricity,Alpin,453.0015714048197
309,2040,3701,hydrogen,Nice,0.0
310,2040,3701,hydrogen,Marseille,0.0
311,2040,3701,hydrogen,Alpin,0.0
312,2040,3701,natural gas,Nice,0.0
313,2040,3701,natural gas,Marseille,0.0
314,2040,3701,natural gas,Alpin,0.0
315,2040,7801,biogas,Nice,0.0
316,2040,7801,biogas,Marseille,0.0
317,2040,7801,biogas,Alpin,0.0
318,2040,7801,gas,Nice,0.0
319,2040,7801,gas,Marseille,-5.684341886080802e-14
320,2040,7801,gas,Alpin,0.0
321,2040,7801,electricity,Nice,0.0
322,2040,7801,electricity,Marseille,738.5598291724668
323,2040,7801,electricity,Alpin,232.9795463308319
