,YEAR_op,TIMESTAMP,TECHNOLOGIES,AREA,power_Dvar
113,2040,3601,Onshore wind,Nice,274.6984464
114,2040,3601,Ground PV,Alpin,0.0
115,2040,3601,Ground PV,Marseille,0.0
116,2040,3601,Ground PV,Nice,0.0
117,2040,3601,ElectrolysisS,Alpin,0.0
118,2040,3601,ElectrolysisS,Marseille,0.0
119,2040,3601,ElectrolysisS,Nice,0.0
120,2040,3601,Offshore wind - floating,Alpin,0.0
121,2040,3601,Offshore wind - floating,Marseille,0.0
122,2040,3601,Offshore wind - floating,Nice,0.0
123,2040,3601,CCS2,Alpin,0.0
124,2040,3601,CCS2,Marseille,0.0
125,2040,3601,CCS2,Nice,0.0
126,2040,3601,CCS1,Alpin,0.0
127,2040,3601,CCS1,Marseille,0.0
128,2040,3601,CCS1,Nice,0.0
129,2040,3601,SMR,Alpin,0.0
130,2040,3601,SMR,Marseille,0.0
131,2040,3601,SMR,Nice,0.0
132,2040,3601,SMR + CCS2,Alpin,0.0
133,2040,3601,SMR + CCS2,Marseille,0.0
134,2040,3601,SMR + CCS2,Nice,0.0
135,2040,3601,ElectrolysisL,Alpin,200.0
136,2040,3601,ElectrolysisL,Marseille,1599.394076696345
137,2040,3601,ElectrolysisL,Nice,274.6984464
138,2040,3601,ElectrolysisM,Alpin,8.503688092729186
139,2040,3601,ElectrolysisM,Marseille,0.0
140,2040,3601,ElectrolysisM,Nice,0.0
141,2040,3601,SMR + CCS1,Alpin,0.0
142,2040,3601,SMR + CCS1,Marseille,0.0
143,2040,3601,SMR + CCS1,Nice,0.0
144,2040,7701,Existing SMR,Alpin,0.0
145,2040,7701,Existing SMR,Marseille,0.0
146,2040,7701,Existing SMR,Nice,0.0
147,2040,7701,Onshore wind,Alpin,207.9492912
148,2040,7701,Onshore wind,Marseille,1599.394076696345
149,2040,7701,Onshore wind,Nice,274.6984464
150,2040,7701,Ground PV,Alpin,0.0
151,2040,7701,Ground PV,Marseille,0.0
152,2040,7701,Ground PV,Nice,0.0
153,2040,7701,ElectrolysisS,Alpin,0.0
154,2040,7701,ElectrolysisS,Marseille,0.0
155,2040,7701,ElectrolysisS,Nice,0.0
156,2040,7701,Offshore wind - floating,Alpin,0.0
157,2040,7701,Offshore wind - floating,Marseille,0.0
158,2040,7701,Offshore wind - floating,Nice,0.0
159,2040,7701,CCS2,Alpin,0.0
160,2040,7701,CCS2,Marseille,0.0
161,2040,7701,CCS2,Nice,0.0
162,2040,7701,CCS1,Alpin,0.0
163,2040,7701,CCS1,Marseille,0.0
164,2040,7701,CCS1,Nice,0.0
165,2040,7701,SMR,Alpin,0.0
166,2040,7701,SMR,Marseille,0.0
167,2040,7701,SMR,Nice,0.0
168,2040,7701,SMR + CCS2,Alpin,0.0
169,2040,7701,SMR + CCS2,Marseille,0.0
170,2040,7701,SMR + CCS2,Nice,0.0
171,2040,7701,ElectrolysisL,Alpin,200.0
172,2040,7701,ElectrolysisL,Marseille,1599.394076696345
173,2040,7701,ElectrolysisL,Nice,274.6984464
174,2040,7701,ElectrolysisM,Alpin,8.503688092729186
175,2040,7701,ElectrolysisM,Marseille,0.0
176,2040,7701,ElectrolysisM,Nice,0.0
177,2040,7701,SMR + CCS1,Alpin,0.0
178,2040,7701,SMR + CCS1,Marseille,0.0
