,YEAR_op,HORAIRE,AREA,max_PS_Dvar
0,2040,HPH,Alpin,206.44220852772918
1,2040,HPH,Marseille,1557.8795881494912
2,2040,HPH,Nice,297.276810945
3,2040,P,Alpin,0.0
4,2040,P,Marseille,0.0
5,2040,P,Nice,0.0
6,2040,HCE,Alpin,207.5522359297292
7,2040,HCE,Marseille,1566.417206315491
8,2040,HCE,Nice,298.743143439
9,2040,HPE,Alpin,206.65364234172918
10,2040,HPE,Marseille,1559.505801311491
11,2040,HPE,Nice,297.556112403
12,2040,HCH,Alpin,204.59216326272917
13,2040,HCH,Marseille,1543.6502276544911
14,2040,HCH,Nice,294.83292399
15,2050,HPH,Alpin,516.1717757118981
16,2050,HPH,Marseille,2277.6036788
17,2050,HPH,Nice,297.276810945
18,2050,P,Alpin,0.0
19,2050,P,Marseille,0.0
20,2050,P,Nice,0.0
21,2050,HCE,Alpin,593.723548764
22,2050,HCE,Marseille,2215.249688325898
23,2050,HCE,Nice,298.743143439
24,2050,HPE,Alpin,520.1965686
25,2050,HPE,Marseille,2276.473701957898
26,2050,HPE,Nice,297.556112403
27,2050,HCH,Alpin,510.94140082689813
28,2050,HCH,Marseille,2257.5044216
29,2050,HCH,Nice,294.83292399
30,2030,HPH,Alpin,160.6174383101283
31,2030,HPH,Marseille,1084.6384166
32,2030,HPH,Nice,324.63645943098004
33,2030,P,Alpin,0.0
34,2030,P,Marseille,0.0
35,2030,P,Nice,0.0
36,2030,HCE,Alpin,160.8641110587977
37,2030,HCE,Marseille,1094.972573756
38,2030,HCE,Nice,324.63645943098004
39,2030,HPE,Alpin,161.1518961011283
40,2030,HPE,Marseille,1090.9862735840002
41,2030,HPE,Nice,324.63645943098004
42,2030,HCH,Alpin,158.5618323177977
43,2030,HCH,Marseille,1079.33169596
44,2030,HCH,Nice,324.63645943098004
