,YEAR_op,TIMESTAMP,STOCK_TECHNO,AREA,stockLevel_Pvar
143,2040,7301,Salt cavern,Alpin,0.0
144,2040,2701,Battery,Nice,0.0
145,2040,2701,Battery,Marseille,0.0
146,2040,2701,Battery,Alpin,0.0
147,2040,2701,Salt cavern,Nice,0.0
148,2040,2701,Salt cavern,Marseille,0.0
149,2040,2701,Salt cavern,Alpin,0.0
150,2040,6801,Battery,Nice,0.0
151,2040,6801,Battery,Marseille,0.0
152,2040,6801,Battery,Alpin,0.0
153,2040,6801,Salt cavern,Nice,0.0
154,2040,6801,Salt cavern,Marseille,0.0
155,2040,6801,Salt cavern,Alpin,0.0
156,2040,2201,Battery,Nice,0.0
157,2040,2201,Battery,Marseille,0.0
158,2040,2201,Battery,Alpin,0.0
159,2040,2201,Salt cavern,Nice,0.0
160,2040,2201,Salt cavern,Marseille,0.0
161,2040,2201,Salt cavern,Alpin,0.0
162,2040,6301,Battery,Nice,0.0
163,2040,6301,Battery,Marseille,0.0
164,2040,6301,Battery,Alpin,0.0
165,2040,6301,Salt cavern,Nice,0.0
166,2040,6301,Salt cavern,Marseille,0.0
167,2040,6301,Salt cavern,Alpin,0.0
168,2040,1701,Battery,Nice,0.0
169,2040,1701,Battery,Marseille,0.0
170,2040,1701,Battery,Alpin,0.0
171,2040,1701,Salt cavern,Nice,0.0
172,2040,1701,Salt cavern,Marseille,0.0
173,2040,1701,Salt cavern,Alpin,0.0
174,2040,5801,Battery,Nice,0.0
175,2040,5801,Battery,Marseille,0.0
176,2040,5801,Battery,Alpin,0.0
177,2040,5801,Salt cavern,Nice,0.0
178,2040,5801,Salt cavern,Marseille,0.0
179,2040,5801,Salt cavern,Alpin,0.0
180,2040,1201,Battery,Nice,0.0
181,2040,1201,Battery,Marseille,0.0
182,2040,1201,Battery,Alpin,0.0
183,2040,1201,Salt cavern,Nice,0.0
184,2040,1201,Salt cavern,Marseille,0.0
185,2040,1201,Salt cavern,Alpin,0.0
186,2040,5301,Battery,Nice,0.0
187,2040,5301,Battery,Marseille,0.0
188,2040,5301,Battery,Alpin,0.0
189,2040,5301,Salt cavern,Nice,0.0
190,2040,5301,Salt cavern,Marseille,0.0
191,2040,5301,Salt cavern,Alpin,0.0
192,2040,701,Battery,Nice,0.0
193,2040,701,Battery,Marseille,0.0
194,2040,701,Battery,Alpin,0.0
195,2040,701,Salt cavern,Nice,0.0
196,2040,701,Salt cavern,Marseille,0.0
197,2040,701,Salt cavern,Alpin,0.0
198,2040,4801,Battery,Nice,0.0
199,2040,4801,Battery,Marseille,0.0
200,2040,4801,Battery,Alpin,0.0
201,2040,4801,Salt cavern,Nice,0.0
202,2040,4801,Salt cavern,Marseille,0.0
203,2040,4801,Salt cavern,Alpin,0.0
204,2040,201,Battery,Nice,0.0
205,2040,201,Battery,Marseille,0.0
206,2040,201,Battery,Alpin,0.0
207,2040,201,Salt cavern,Nice,0.0
208,2040,201,Salt cavern,Marseille,0.0
209,2040,201,Salt cavern,Alpin,0.0
210,2040,4301,Battery,Nice,0.0
211,2040,4301,Battery,Marseille,0.0
212,2040,4301,Battery,Alpin,0.0
213,2040,4301,Salt cavern,Nice,0.0
214,2040,4301,Salt cavern,Marseille,0.0
215,2040,4301,Salt cavern,Alpin,0.0
216,2040,8401,Battery,Nice,0.0
217,2040,8401,Battery,Marseille,0.0
218,2040,8401,Battery,Alpin,0.0
219,2040,8401,Salt cavern,Nice,0.0
220,2040,8401,Salt cavern,Marseille,0.0
221,2040,8401,Salt cavern,Alpin,0.0
222,2040,3801,Battery,Nice,0.0
223,2040,3801,Battery,Marseille,0.0
224,2040,3801,Battery,Alpin,0.0
225,2040,3801,Salt cavern,Nice,0.0
226,2040,3801,Salt cavern,Marseille,0.0
227,2040,3801,Salt cavern,Alpin,0.0
228,2040,7901,Battery,Nice,0.0
229,2040,7901,Battery,Marseille,0.0
230,2040,7901,Battery,Alpin,0.0
231,2040,7901,Salt cavern,Nice,0.0
232,2040,7901,Salt cavern,Marseille,0.0
233,2040,7901,Salt cavern,Alpin,0.0
234,2040,3301,Battery,Nice,0.0
235,2040,3301,Battery,Marseille,0.0
236,2040,3301,Battery,Alpin,0.0
237,2040,3301,Salt cavern,Nice,0.0
238,2040,3301,Salt cavern,Marseille,0.0
239,2040,3301,Salt cavern,Alpin,0.0
240,2040,7401,Battery,Nice,0.0
241,2040,7401,Battery,Marseille,0.0
242,2040,7401,Battery,Alpin,0.0
243,2040,7401,Salt cavern,Nice,0.0
244,2040,7401,Salt cavern,Marseille,0.0
245,2040,7401,Salt cavern,Alpin,0.0
246,2040,2801,Battery,Nice,0.0
247,2040,2801,Battery,Marseille,0.0
248,2040,2801,Battery,Alpin,0.0
249,2040,2801,Salt cavern,Nice,0.0
250,2040,2801,Salt cavern,Marseille,0.0
251,2040,2801,Salt cavern,Alpin,0.0
252,2040,6901,Battery,Nice,0.0
253,2040,6901,Battery,Marseille,0.0
254,2040,6901,Battery,Alpin,0.0
255,2040,6901,Salt cavern,Nice,0.0
256,2040,6901,Salt cavern,Marseille,0.0
257,2040,6901,Salt cavern,Alpin,0.0
258,2040,2301,Battery,Nice,0.0
259,2040,2301,Battery,Marseille,0.0
260,2040,2301,Battery,Alpin,0.0
261,2040,2301,Salt cavern,Nice,0.0
262,2040,2301,Salt cavern,Marseille,0.0
263,2040,2301,Salt cavern,Alpin,0.0
264,2040,6401,Battery,Nice,0.0
265,2040,6401,Battery,Marseille,0.0
