TIMESTAMP,Calendrier,HTA,sup36,inf36
180,HPH,21.4,43.7,14.7
181,HPH,21.4,43.7,14.7
182,HPH,21.4,43.7,14.7
183,HPH,21.4,43.7,14.7
184,HPH,21.4,43.7,14.7
185,HPH,21.4,43.7,14.7
186,HPH,21.4,43.7,14.7
187,P,28.5,43.7,14.7
188,P,28.5,43.7,14.7
189,HPH,21.4,43.7,14.7
190,HPH,21.4,43.7,14.7
191,HCH,13.4,29.4,14.7
192,HCH,13.4,29.4,14.7
193,HCH,13.4,29.4,14.7
194,HCH,13.4,29.4,14.7
195,HCH,13.4,29.4,14.7
196,HCH,13.4,29.4,14.7
197,HCH,13.4,29.4,14.7
198,HCH,13.4,29.4,14.7
199,P,28.5,43.7,14.7
200,P,28.5,43.7,14.7
201,HPH,21.4,43.7,14.7
202,HPH,21.4,43.7,14.7
203,HPH,21.4,43.7,14.7
204,HPH,21.4,43.7,14.7
205,HPH,21.4,43.7,14.7
206,HPH,21.4,43.7,14.7
207,HPH,21.4,43.7,14.7
208,HPH,21.4,43.7,14.7
209,HPH,21.4,43.7,14.7
210,HPH,21.4,43.7,14.7
211,P,28.5,43.7,14.7
212,P,28.5,43.7,14.7
213,HPH,21.4,43.7,14.7
214,HPH,21.4,43.7,14.7
215,HCH,13.4,29.4,14.7
216,HCH,13.4,29.4,14.7
217,HCH,13.4,29.4,14.7
218,HCH,13.4,29.4,14.7
219,HCH,13.4,29.4,14.7
220,HCH,13.4,29.4,14.7
221,HCH,13.4,29.4,14.7
222,HCH,13.4,29.4,14.7
223,P,28.5,43.7,14.7
224,P,28.5,43.7,14.7
225,HPH,21.4,43.7,14.7
226,HPH,21.4,43.7,14.7
227,HPH,21.4,43.7,14.7
228,HPH,21.4,43.7,14.7
229,HPH,21.4,43.7,14.7
230,HPH,21.4,43.7,14.7
231,HPH,21.4,43.7,14.7
232,HPH,21.4,43.7,14.7
233,HPH,21.4,43.7,14.7
234,HPH,21.4,43.7,14.7
235,P,28.5,43.7,14.7
236,P,28.5,43.7,14.7
237,HPH,21.4,43.7,14.7
238,HPH,21.4,43.7,14.7
239,HCH,13.4,29.4,14.7
240,HCH,13.4,29.4,14.7
241,HCH,13.4,29.4,14.7
242,HCH,13.4,29.4,14.7
243,HCH,13.4,29.4,14.7
244,HCH,13.4,29.4,14.7
